columns Id,Top-Left,Bottom-Right,Top,Left,Bottom,Right,Top_box,Bottom_box,Left_box,Right_box
0,"[365, 291]","[783, 362]","[574.0, 291]","[365, 326.5]","[574.0, 362]","[783, 326.5]","[-1, 0]","[-1, 0]","[-1, 0]","[23.31, 1]"
1,"[802, 284]","[858, 342]","[830.0, 284]","[802, 313.0]","[830.0, 342]","[858, 313.0]","[-1, 0]","[-1, 0]","[23.31, 0]","[15.81, 2]"
2,"[873, 291]","[931, 345]","[902.0, 291]","[873, 318.0]","[902.0, 345]","[931, 318.0]","[-1, 0]","[-1, 0]","[15.81, 1]","[-1, 0]"
3,"[1972, 280]","[2062, 335]","[2017.0, 280]","[1972, 307.5]","[2017.0, 335]","[2062, 307.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
4,"[363, 455]","[464, 520]","[413.5, 455]","[363, 487.5]","[413.5, 520]","[464, 487.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
5,"[570, 458]","[1005, 530]","[787.5, 458]","[570, 494.0]","[787.5, 530]","[1005, 494.0]","[-1, 0]","[37.44, 10]","[-1, 0]","[22.0, 6]"
6,"[1027, 455]","[1131, 533]","[1079.0, 455]","[1027, 494.0]","[1079.0, 533]","[1131, 494.0]","[-1, 0]","[33.24, 11]","[22.0, 5]","[17.12, 7]"
7,"[1148, 451]","[1252, 533]","[1200.0, 451]","[1148, 492.0]","[1200.0, 533]","[1252, 492.0]","[-1, 0]","[-1, 0]","[17.12, 6]","[17.36, 8]"
8,"[1269, 461]","[1511, 530]","[1390.0, 461]","[1269, 495.5]","[1390.0, 530]","[1511, 495.5]","[-1, 0]","[-1, 0]","[17.36, 7]","[-1, 0]"
9,"[568, 571]","[677, 625]","[622.5, 571]","[568, 598.0]","[622.5, 625]","[677, 598.0]","[-1, 0]","[-1, 0]","[-1, 0]","[24.86, 10]"
10,"[701, 561]","[916, 622]","[808.5, 561]","[701, 591.5]","[808.5, 622]","[916, 591.5]","[37.44, 5]","[-1, 0]","[24.86, 9]","[26.0, 11]"
11,"[940, 564]","[1194, 639]","[1067.0, 564]","[940, 601.5]","[1067.0, 639]","[1194, 601.5]","[33.24, 6]","[-1, 0]","[26.0, 10]","[24.0, 12]"
12,"[1218, 564]","[1474, 639]","[1346.0, 564]","[1218, 601.5]","[1346.0, 639]","[1474, 601.5]","[-1, 0]","[-1, 0]","[24.0, 11]","[-1, 0]"
13,"[1955, 561]","[2028, 615]","[1991.5, 561]","[1955, 588.0]","[1991.5, 615]","[2028, 588.0]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
14,"[568, 725]","[699, 790]","[633.5, 725]","[568, 757.5]","[633.5, 790]","[699, 757.5]","[-1, 0]","[-1, 0]","[-1, 0]","[45.02, 15]"
15,"[744, 728]","[969, 790]","[856.5, 728]","[744, 759.0]","[856.5, 790]","[969, 759.0]","[-1, 0]","[-1, 0]","[45.02, 14]","[5.22, 16]"
16,"[974, 725]","[1271, 796]","[1122.5, 725]","[974, 760.5]","[1122.5, 796]","[1271, 760.5]","[-1, 0]","[-1, 0]","[5.22, 15]","[26.0, 17]"
17,"[1245, 728]","[1438, 793]","[1341.5, 728]","[1245, 760.5]","[1341.5, 793]","[1438, 760.5]","[-1, 0]","[35.3, 23]","[26.0, 16]","[-1, 0]"
18,"[1491, 725]","[1554, 769]","[1522.5, 725]","[1491, 747.0]","[1522.5, 769]","[1554, 747.0]","[44.0, 18]","[44.0, 18]","[-1, 0]","[5.83, 19]"
19,"[1557, 721]","[1864, 783]","[1710.5, 721]","[1557, 752.0]","[1710.5, 783]","[1864, 752.0]","[-1, 0]","[49.91, 25]","[5.83, 18]","[41.0, 20]"
20,"[1905, 708]","[2059, 796]","[1982.0, 708]","[1905, 752.0]","[1982.0, 796]","[2059, 752.0]","[-1, 0]","[33.24, 26]","[41.0, 19]","[-1, 0]"
21,"[370, 827]","[682, 902]","[526.0, 827]","[370, 864.5]","[526.0, 902]","[682, 864.5]","[-1, 0]","[28.16, 27]","[-1, 0]","[-1, 0]"
22,"[720, 824]","[1250, 899]","[985.0, 824]","[720, 861.5]","[985.0, 899]","[1250, 861.5]","[-1, 0]","[-1, 0]","[-1, 0]","[29.72, 23]"
23,"[1279, 827]","[1385, 909]","[1332.0, 827]","[1279, 868.0]","[1332.0, 909]","[1385, 868.0]","[35.3, 17]","[29.35, 29]","[29.72, 22]","[-1, 0]"
24,"[1419, 827]","[1624, 875]","[1521.5, 827]","[1419, 851.0]","[1521.5, 875]","[1624, 851.0]","[48.0, 24]","[48.0, 24]","[-1, 0]","[34.0, 25]"
25,"[1658, 820]","[1830, 882]","[1744.0, 820]","[1658, 851.0]","[1744.0, 882]","[1830, 851.0]","[49.91, 19]","[-1, 0]","[34.0, 24]","[34.71, 26]"
26,"[1864, 820]","[2054, 896]","[1959.0, 820]","[1864, 858.0]","[1959.0, 896]","[2054, 858.0]","[33.24, 20]","[-1, 0]","[34.71, 25]","[-1, 0]"
27,"[367, 930]","[691, 1005]","[529.0, 930]","[367, 967.5]","[529.0, 1005]","[691, 967.5]","[28.16, 21]","[-1, 0]","[-1, 0]","[-1, 0]"
28,"[713, 930]","[1136, 1001]","[924.5, 930]","[713, 965.5]","[924.5, 1001]","[1136, 965.5]","[-1, 0]","[-1, 0]","[-1, 0]","[17.0, 29]"
29,"[1153, 930]","[1470, 1001]","[1311.5, 930]","[1153, 965.5]","[1311.5, 1001]","[1470, 965.5]","[29.35, 23]","[-1, 0]","[17.0, 28]","[-1, 0]"
30,"[1494, 926]","[2050, 998]","[1772.0, 926]","[1494, 962.0]","[1772.0, 998]","[2050, 962.0]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
31,"[365, 1032]","[836, 1094]","[600.5, 1032]","[365, 1063.0]","[600.5, 1094]","[836, 1063.0]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
32,"[858, 1032]","[1146, 1104]","[1002.0, 1032]","[858, 1068.0]","[1002.0, 1104]","[1146, 1068.0]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
33,"[1165, 1025]","[1810, 1107]","[1487.5, 1025]","[1165, 1066.0]","[1487.5, 1107]","[1810, 1066.0]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
34,"[568, 1189]","[631, 1234]","[599.5, 1189]","[568, 1211.5]","[599.5, 1234]","[631, 1211.5]","[45.0, 34]","[45.0, 34]","[-1, 0]","[43.35, 35]"
35,"[674, 1186]","[940, 1248]","[807.0, 1186]","[674, 1217.0]","[807.0, 1248]","[940, 1217.0]","[-1, 0]","[-1, 0]","[43.35, 34]","[-1, 0]"
36,"[979, 1179]","[1332, 1254]","[1155.5, 1179]","[979, 1216.5]","[1155.5, 1254]","[1332, 1216.5]","[-1, 0]","[45.45, 44]","[-1, 0]","[38.05, 37]"
37,"[1370, 1183]","[1687, 1254]","[1528.5, 1183]","[1370, 1218.5]","[1528.5, 1254]","[1687, 1218.5]","[-1, 0]","[-1, 0]","[38.05, 36]","[39.05, 38]"
38,"[1726, 1183]","[1907, 1258]","[1816.5, 1183]","[1726, 1220.5]","[1816.5, 1258]","[1907, 1220.5]","[-1, 0]","[-1, 0]","[39.05, 37]","[36.17, 39]"
39,"[1943, 1176]","[2054, 1258]","[1998.5, 1176]","[1943, 1217.0]","[1998.5, 1258]","[2054, 1217.0]","[-1, 0]","[-1, 0]","[36.17, 38]","[-1, 0]"
40,"[367, 1285]","[563, 1333]","[465.0, 1285]","[367, 1309.0]","[465.0, 1333]","[563, 1309.0]","[48.0, 40]","[48.0, 40]","[-1, 0]","[17.07, 41]"
41,"[580, 1282]","[735, 1333]","[657.5, 1282]","[580, 1307.5]","[657.5, 1333]","[735, 1307.5]","[-1, 0]","[-1, 0]","[17.07, 40]","[18.79, 42]"
42,"[752, 1295]","[800, 1336]","[776.0, 1295]","[752, 1315.5]","[776.0, 1336]","[800, 1315.5]","[41.0, 42]","[41.0, 42]","[18.79, 41]","[17.03, 43]"
43,"[817, 1289]","[1018, 1340]","[917.5, 1289]","[817, 1314.5]","[917.5, 1340]","[1018, 1314.5]","[-1, 0]","[-1, 0]","[17.03, 42]","[-1, 0]"
